t,missing,delta_l1,delta_l1_wrist,delta_angles,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
1287,0,0.029836,0.041506,0.166024,0.589364,0.500528,0.000402,0.550304,0.575531,-0.000080,0.466305,0.580344,-0.000097,0.417691,0.510142,-0.000421,0.449669,0.428028,-0.000239,0.535867,0.408909,-0.000534,0.597838,0.468383,-0.000469,0.581146,0.551890,-0.000350,0.502967,0.580760,0.000326,0.435661,0.527718,0.000573,0.445260,0.441325,-0.000648,0.523139,0.399458,0.000670,0.600735,0.440296,-0.000597,0.608256,0.524415,0.000338,0.540832,0.575573,0.000282,0.461611,0.543650,-0.000370,0.445673,0.458012,0.000214,0.509843,0.395823,0.000025,0.595074,0.415109,-0.000209,0.627704,0.494213,-0.000796,0.577166,0.562537,0.000369
1320,0,0.031867,0.043458,0.173834,0.589934,0.500263,-0.000227,0.549929,0.574787,-0.000451,0.466434,0.579376,-0.000370,0.417426,0.509441,0.000125,0.449278,0.427864,-0.000250,0.535822,0.407974,-0.000641,0.598870,0.468788,-0.000601,0.582423,0.552035,-0.000799,0.503638,0.580566,0.000302,0.435409,0.528331,-0.000546,0.445176,0.440677,0.000247,0.521999,0.398796,0.000646,0.599412,0.439543,-0.000311,0.607989,0.524390,0.000249,0.540632,0.574356,-0.000037,0.461040,0.543088,0.000288,0.445026,0.458402,0.000507,0.510016,0.396350,-0.000589,0.594742,0.414224,0.000369,0.626347,0.494190,0.000610,0.576147,0.562603,0.000405
1353,0,0.034900,0.041518,0.166071,0.589413,0.500789,-0.000571,0.550676,0.573946,0.000240,0.466451,0.580193,0.000205,0.416343,0.509560,0.000299,0.449748,0.427226,-0.000639,0.535934,0.408840,-0.000186,0.599157,0.468556,-0.000576,0.581494,0.551464,0.000085,0.503065,0.581214,0.000446,0.436303,0.528647,0.000253,0.444166,0.441066,0.000015,0.522795,0.398674,-0.000713,0.600584,0.440436,-0.000008,0.607051,0.524814,0.000150,0.540352,0.575919,0.000779,0.462322,0.542937,0.000577,0.445920,0.457873,0.000293,0.509656,0.397201,0.000433,0.594655,0.413719,-0.000381,0.626247,0.493786,0.000463,0.576738,0.562371,0.000002
1386,0,0.032780,0.039298,0.157192,0.589865,0.500323,-0.000668,0.550686,0.574918,-0.000356,0.466243,0.579855,-0.000475,0.417394,0.509759,-0.000175,0.449387,0.428423,0.000290,0.534835,0.409015,0.000368,0.598970,0.468145,-0.000662,0.581746,0.552054,0.000174,0.502600,0.581429,0.000385,0.435389,0.528423,0.000322,0.443946,0.441763,0.000037,0.522851,0.399354,-0.000533,0.599350,0.440158,-0.000370,0.608288,0.525249,-0.000753,0.540798,0.574790,-0.000698,0.461968,0.543649,-0.000677,0.445739,0.457865,-0.000001,0.509342,0.396263,-0.000392,0.594793,0.414529,0.000356,0.626549,0.494503,-0.000730,0.577308,0.561756,-0.000045
1419,0,0.033099,0.053204,0.212818,0.589813,0.499440,0.000690,0.551199,0.574817,0.000662,0.466932,0.579708,-0.000285,0.416767,0.510053,-0.000366,0.448497,0.427684,0.000003,0.536173,0.408184,0.000487,0.599186,0.469579,-0.000690,0.581795,0.551780,0.000552,0.502629,0.581127,-0.000787,0.435519,0.528193,-0.000314,0.444680,0.440980,0.000147,0.522388,0.399437,-0.000487,0.600588,0.440125,-0.000408,0.606880,0.524671,-0.000427,0.540061,0.575698,0.000604,0.462350,0.542728,0.000252,0.446369,0.458452,-0.000634,0.509283,0.396055,-0.000013,0.594724,0.415206,0.000339,0.626332,0.495163,0.000636,0.576759,0.562486,-0.000204
1452,0,0.180904,0.285649,1.142595,0.597847,0.497509,-0.002427,0.551130,0.580860,-0.002551,0.464873,0.583993,0.002785,0.410371,0.508972,-0.001110,0.447709,0.425308,0.001412,0.535856,0.402534,-0.002552,0.601432,0.469135,0.000508,0.583553,0.553400,-0.000204,0.501617,0.586205,0.002788,0.429688,0.529001,-0.001410,0.438008,0.436264,0.001116,0.524379,0.395182,-0.002758,0.606182,0.435992,-0.002453,0.610697,0.526050,0.000081,0.542053,0.578669,0.002944,0.455016,0.546204,-0.000287,0.442511,0.455148,-0.000228,0.509683,0.389506,-0.002928,0.600712,0.413552,-0.002216,0.633869,0.494472,0.000782,0.579636,0.567224,-0.001447
1485,0,0.176666,0.187293,0.749172,0.601876,0.497131,-0.002613,0.558445,0.582808,-0.002227,0.464816,0.590906,-0.001011,0.404257,0.510878,-0.001992,0.443079,0.422250,-0.000630,0.535543,0.400207,-0.001963,0.606305,0.464181,-0.001321,0.591691,0.555907,0.000715,0.499925,0.589706,-0.000528,0.427191,0.529578,-0.001321,0.433916,0.433795,0.002308,0.522597,0.389786,0.001813,0.610154,0.437279,0.001691,0.615899,0.529284,-0.000092,0.544150,0.585075,-0.000670,0.452110,0.548942,-0.001686,0.438609,0.456881,-0.002648,0.509433,0.387037,0.001601,0.605029,0.409745,-0.002399,0.637812,0.494587,0.001898,0.583312,0.568630,0.002978
1518,0,0.201198,0.251219,1.004875,0.603316,0.502079,0.001784,0.557861,0.589390,0.002071,0.458361,0.594031,0.001837,0.403237,0.514301,-0.002831,0.440571,0.419221,0.000382,0.540163,0.392442,0.002928,0.615108,0.464615,-0.001146,0.593102,0.559525,-0.001604,0.499035,0.596041,-0.002996,0.424839,0.532481,-0.002217,0.433199,0.435390,0.002066,0.521406,0.381133,0.000520,0.615108,0.433306,0.002079,0.623446,0.533881,-0.000758,0.545009,0.589387,-0.002394,0.449043,0.551099,-0.002055,0.434138,0.455521,0.002764,0.506003,0.380098,0.002812,0.606495,0.405719,0.001722,0.640153,0.497271,-0.001948,0.581690,0.576990,-0.002236
1551,0,0.203778,0.295384,1.181534,0.611373,0.502693,0.002692,0.560783,0.594528,0.002791,0.455418,0.598637,0.002526,0.399906,0.510849,0.000393,0.438719,0.410596,0.001472,0.539631,0.392413,-0.001993,0.619931,0.460797,0.001254,0.597764,0.567588,-0.000320,0.498586,0.599327,-0.002593,0.416316,0.533981,-0.002992,0.427018,0.431553,0.002815,0.524794,0.378960,-0.000728,0.617100,0.426586,-0.000123,0.628003,0.534124,0.001123,0.541017,0.592409,0.002075,0.445204,0.555444,0.002710,0.424103,0.450351,-0.000747,0.505124,0.377529,0.002389,0.606193,0.399956,0.000682,0.646654,0.494672,0.002655,0.582879,0.582762,-0.002057
1584,0,0.189583,0.263708,1.054832,0.612608,0.498233,-0.001860,0.565318,0.597101,0.001380,0.454735,0.601258,-0.001575,0.389449,0.513659,0.002039,0.430753,0.408133,-0.000434,0.541388,0.385696,0.000601,0.620618,0.459022,-0.001975,0.599450,0.566045,0.002063,0.498118,0.605161,-0.000065,0.414186,0.535940,0.000265,0.421616,0.429751,-0.000784,0.522184,0.372581,-0.000210,0.619401,0.424905,-0.002630,0.631870,0.536324,-0.002486,0.542788,0.600169,0.002824,0.443174,0.560105,0.002045,0.423780,0.450403,0.000213,0.504558,0.372288,0.002290,0.611794,0.393110,0.002417,0.652987,0.498248,0.002403,0.588732,0.586054,0.000722
1617,0,0.183670,0.215281,0.861122,0.617722,0.501543,-0.001963,0.569742,0.602810,0.001851,0.451819,0.606656,0.002930,0.386813,0.516918,0.000763,0.431567,0.403731,0.002465,0.546525,0.377331,-0.000671,0.626605,0.459427,-0.001343,0.604217,0.574079,0.001719,0.499278,0.610858,-0.000482,0.408151,0.538343,0.000528,0.420862,0.427355,0.002550,0.522907,0.366607,-0.001283,0.625476,0.422674,-0.000535,0.634192,0.537334,0.000654,0.541633,0.603525,-0.002137,0.439489,0.564197,-0.002767,0.419418,0.448441,-0.001575,0.502455,0.370157,0.002382,0.612359,0.393786,-0.001182,0.655327,0.498935,0.001177,0.586559,0.591767,-0.002194
1650,0,0.099888,0.155370,0.621478,0.620759,0.499909,0.000521,0.566467,0.599843,0.000233,0.453563,0.606654,0.000518,0.387586,0.514350,0.000588,0.430076,0.405208,-0.000546,0.543737,0.379940,-0.000583,0.627783,0.461077,-0.000754,0.603977,0.572371,0.000539,0.498139,0.610653,0.000669,0.408992,0.540093,0.000518,0.419320,0.424934,-0.000602,0.521780,0.368797,0.000150,0.624747,0.424204,0.000139,0.634653,0.536882,0.000631,0.544807,0.605175,-0.000344,0.438656,0.562495,0.000116,0.417825,0.450023,0.000236,0.501265,0.367263,-0.000145,0.614470,0.392330,0.000428,0.655859,0.499644,0.000236,0.589132,0.588767,-0.000396
1683,0,0.032067,0.034786,0.139144,0.620488,0.499689,0.000747,0.567065,0.599855,-0.000198,0.453820,0.606719,-0.000053,0.387484,0.514453,-0.000165,0.428926,0.405202,0.000260,0.544589,0.379728,0.000236,0.627395,0.460148,-0.000627,0.603770,0.572620,0.000225,0.499118,0.610341,0.000338,0.409292,0.540132,-0.000560,0.419736,0.425357,0.000489,0.523015,0.369161,0.000257,0.625552,0.423965,0.000249,0.635690,0.537035,-0.000130,0.544230,0.604129,0.000333,0.438953,0.562538,0.000362,0.416637,0.449507,0.000456,0.501631,0.367907,0.000012,0.615791,0.392427,0.000602,0.656134,0.498341,-0.000595,0.588584,0.590047,0.000421
1716,0,0.037503,0.049778,0.199110,0.619493,0.500288,-0.000263,0.566179,0.599745,0.000391,0.453754,0.607577,-0.000270,0.386818,0.513605,0.000562,0.429516,0.405770,0.000134,0.544750,0.379243,0.000623,0.627221,0.461058,-0.000189,0.604146,0.571125,0.000567,0.497960,0.610243,-0.000145,0.408775,0.541105,-0.000068,0.419018,0.425063,0.000446,0.522511,0.369211,-0.000517,0.625478,0.422819,-0.000362,0.635312,0.536890,0.000423,0.544392,0.605295,-0.000659,0.439021,0.563248,-0.000155,0.417825,0.449265,-0.000740,0.500499,0.367429,-0.000777,0.614954,0.392415,-0.000495,0.656927,0.499188,-0.000402,0.589279,0.589304,-0.000594
1749,0,0.032017,0.031581,0.126323,0.619814,0.500142,-0.000533,0.567354,0.599654,-0.000335,0.454427,0.607270,-0.000259,0.387822,0.514727,-0.000252,0.430205,0.404959,-0.000499,0.544756,0.380598,-0.000155,0.626786,0.460834,-0.000590,0.604843,0.571982,-0.000530,0.498327,0.610964,-0.000740,0.409267,0.540063,0.000056,0.418589,0.425509,0.000259,0.522777,0.368233,0.000304,0.625129,0.423420,0.000076,0.634853,0.536865,0.000312,0.544617,0.604555,0.000259,0.439097,0.562667,0.000169,0.416500,0.449981,-0.000632,0.501330,0.367021,-0.000618,0.614608,0.391399,-0.000480,0.656265,0.499022,-0.000477,0.589295,0.589226,-0.000737
1782,0,0.037696,0.051155,0.204619,0.619994,0.499532,0.000693,0.566565,0.599181,0.000275,0.454713,0.607652,0.000270,0.386640,0.513279,0.000019,0.429920,0.404546,-0.000391,0.543609,0.380711,-0.000326,0.627163,0.459830,-0.000520,0.603731,0.571503,0.000483,0.498240,0.611105,-0.000648,0.409077,0.539728,0.000563,0.419573,0.424190,-0.000228,0.522431,0.369196,0.000606,0.624611,0.424115,-0.000507,0.634735,0.538160,-0.000365,0.544226,0.605434,0.000480,0.439076,0.563510,-0.000619,0.417395,0.448745,0.000708,0.500435,0.367498,0.000145,0.615722,0.392167,-0.000510,0.656452,0.498759,-0.000754,0.589265,0.590095,0.000758
1815,0,0.030083,0.067968,0.271870,0.619409,0.500673,-0.000619,0.566694,0.599250,-0.000381,0.453765,0.607443,0.000285,0.387629,0.514057,0.000104,0.430327,0.405455,-0.000259,0.544076,0.380250,-0.000648,0.627479,0.460068,-0.000247,0.604750,0.571654,0.000542,0.498633,0.611503,-0.000713,0.408894,0.539905,0.000558,0.419874,0.425309,-0.000680,0.522518,0.368587,0.000752,0.624543,0.423168,0.000229,0.634739,0.536996,-0.000065,0.544890,0.604790,0.000571,0.438753,0.562424,-0.000004,0.417326,0.448816,-0.000140,0.501072,0.366833,-0.000655,0.615405,0.392072,-0.000313,0.656658,0.498516,0.000274,0.589690,0.589335,-0.000713
1848,0,0.038930,0.047877,0.191510,0.619557,0.499927,0.000096,0.567028,0.599934,0.000251,0.454408,0.606498,0.000415,0.386756,0.513681,0.000528,0.430306,0.404851,0.000035,0.544363,0.379202,-0.000537,0.626645,0.460817,0.000354,0.603839,0.572016,-0.000500,0.499228,0.610552,-0.000069,0.409115,0.540801,-0.000628,0.419175,0.425400,0.000540,0.522673,0.369437,-0.000079,0.625516,0.424341,-0.000585,0.634892,0.537469,-0.000722,0.545105,0.605415,-0.000027,0.438851,0.563708,-0.000516,0.417207,0.449820,-0.000595,0.500800,0.367793,0.000612,0.615245,0.391697,0.000767,0.657310,0.499405,-0.000362,0.589712,0.590306,-0.000075
1881,0,0.027701,0.027504,0.110015,0.619413,0.499860,0.000320,0.567234,0.599655,0.000322,0.454640,0.607455,0.000697,0.387413,0.513456,0.000199,0.429228,0.404936,0.000276,0.544810,0.380169,0.000733,0.627227,0.460781,-0.000284,0.603853,0.571602,-0.000031,0.498653,0.610990,-0.000132,0.409061,0.541000,-0.000343,0.419867,0.425211,0.000036,0.521772,0.368434,0.000272,0.624782,0.424012,-0.000543,0.634552,0.537021,0.000543,0.544713,0.604545,0.000406,0.438089,0.563537,-0.000636,0.417670,0.449835,0.000584,0.501368,0.367730,-0.000420,0.615693,0.392360,-0.000340,0.656908,0.499668,-0.000180,0.589701,0.590315,-0.000300
1914,0,0.034090,0.046314,0.185255,0.620083,0.499221,-0.000398,0.567029,0.600426,0.000592,0.454590,0.607774,0.000327,0.387437,0.514343,0.000075,0.429728,0.405626,0.000743,0.543710,0.379413,0.000292,0.626720,0.459948,0.000022,0.604272,0.571724,0.000091,0.497948,0.610857,-0.000392,0.408393,0.540790,-0.000552,0.418757,0.424434,-0.000719,0.523223,0.369186,0.000259,0.625247,0.423728,-0.000227,0.635348,0.537129,-0.000448,0.543903,0.604182,0.000008,0.438703,0.563094,-0.000653,0.416635,0.448993,-0.000269,0.500758,0.367182,0.000404,0.615287,0.392676,0.000518,0.657414,0.498199,0.000270,0.588883,0.590201,0.000182
1947,0,0.037404,0.058420,0.233680,0.620194,0.500734,0.000292,0.566550,0.600642,0.000712,0.453880,0.607180,-0.000347,0.387859,0.514450,-0.000200,0.430047,0.405097,-0.000730,0.544677,0.379437,0.000022,0.627938,0.459938,0.000730,0.604529,0.571050,-0.000695,0.498813,0.611161,0.000584,0.408543,0.539821,0.000060,0.419636,0.425479,0.000440,0.522766,0.369705,0.000395,0.624708,0.423546,-0.000269,0.634234,0.536707,0.000471,0.544501,0.604993,-0.000436,0.438451,0.562855,0.000208,0.416974,0.448679,0.000277,0.501036,0.367859,0.000189,0.615648,0.392019,0.000321,0.655961,0.499670,-0.000630,0.589429,0.589236,-0.000662
1980,0,0.173796,0.226038,0.904152,0.626592,0.499626,-0.000629,0.570502,0.604028,0.000201,0.449800,0.611008,0.001785,0.382525,0.517401,-0.002136,0.427358,0.403885,0.001770,0.546834,0.374373,0.002697,0.632342,0.459403,-0.002261,0.605268,0.575703,0.000223,0.500494,0.614498,0.001490,0.406530,0.541578,-0.000524,0.415992,0.422073,-0.002034,0.520878,0.366010,-0.001834,0.627570,0.422726,0.002114,0.641539,0.542115,0.002966,0.544860,0.610124,-0.001256,0.432443,0.563875,0.001354,0.412216,0.446997,-0.002231,0.500537,0.360426,0.000717,0.620940,0.387033,-0.000296,0.662286,0.498569,0.000505,0.591404,0.593305,-0.001102
2013,0,0.178440,0.193785,0.775141,0.629570,0.497029,-0.001523,0.570568,0.609830,-0.000383,0.451942,0.614015,0.001398,0.379568,0.515123,-0.000848,0.421859,0.397926,-0.001945,0.547516,0.372391,0.002152,0.634662,0.457908,-0.001421,0.614325,0.575867,-0.002548,0.494197,0.620660,-0.002813,0.400044,0.544006,0.000540,0.413359,0.419587,0.000261,0.525568,0.358834,0.001651,0.632896,0.416585,0.001633,0.645367,0.540368,-0.000212,0.545838,0.614160,0.000013,0.432217,0.571625,0.001839,0.408188,0.444568,0.000085,0.497906,0.356093,0.002692,0.622798,0.387178,0.001416,0.666433,0.499637,-0.001687,0.592977,0.596060,-0.000783
2046,0,0.224418,0.279879,1.119518,0.632257,0.498241,0.002446,0.574108,0.612417,-0.000272,0.445099,0.623639,-0.001056,0.373573,0.516179,0.001978,0.421767,0.392412,0.000266,0.546337,0.366467,-0.000808,0.642543,0.458292,0.000100,0.615035,0.584137,0.000098,0.495475,0.627770,-0.000079,0.394890,0.547261,0.000011,0.404559,0.414551,-0.002537,0.523458,0.352270,-0.001879,0.637094,0.416866,-0.002290,0.646887,0.545590,0.001322,0.546349,0.619605,-0.001736,0.425410,0.574789,-0.002865,0.399975,0.445574,-0.002033,0.497630,0.350446,0.000434,0.622478,0.379166,-0.001920,0.674225,0.501830,0.000382,0.592203,0.604565,0.000970
2079,0,0.175279,0.220200,0.880799,0.638701,0.497514,-0.000305,0.580599,0.619010,-0.001977,0.447722,0.625907,0.001768,0.369324,0.514848,0.000958,0.415077,0.391393,-0.000944,0.549434,0.361294,-0.001621,0.645737,0.452533,-0.001786,0.621704,0.585004,-0.000481,0.493527,0.628088,-0.000145,0.391130,0.545931,0.001703,0.402550,0.411542,-0.000107,0.520402,0.349622,0.001965,0.644521,0.414529,0.000895,0.653175,0.545046,-0.002739,0.547322,0.623062,0.001814,0.425381,0.575328,0.000534,0.399376,0.445263,0.001180,0.493063,0.346208,-0.000137,0.626839,0.379016,-0.001300,0.678679,0.501435,-0.001866,0.598386,0.609549,0.000468
2112,0,0.173715,0.195407,0.781629,0.642707,0.497043,0.000927,0.581470,0.619909,-0.000826,0.441587,0.630758,-0.001478,0.364581,0.517004,-0.000806,0.411875,0.387347,0.001530,0.550610,0.357659,-0.000105,0.650446,0.453814,-0.001477,0.622156,0.587329,0.001233,0.496317,0.637587,0.000956,0.387373,0.550437,0.001196,0.396305,0.409404,-0.000597,0.521672,0.344305,0.001182,0.647600,0.408161,0.002787,0.654612,0.545471,-0.002128,0.550382,0.629250,-0.002616,0.418176,0.576772,-0.002773,0.392445,0.445161,0.000684,0.494227,0.344867,0.000585,0.634420,0.375028,0.000842,0.680996,0.500942,0.000941,0.600995,0.611093,-0.002798
2145,0,0.203313,0.308254,1.233017,0.650597,0.500095,-0.001610,0.581062,0.622437,-0.001564,0.438580,0.632339,0.002981,0.359179,0.517287,-0.000629,0.410470,0.382586,0.001422,0.549961,0.348702,-0.001293,0.658004,0.454578,-0.000911,0.629865,0.590207,0.000638,0.492342,0.642982,0.000449,0.379897,0.552261,-0.002361,0.391574,0.407162,0.002682,0.524482,0.341742,0.002257,0.652457,0.407963,0.001165,0.664913,0.550404,0.001620,0.550055,0.637359,-0.000247,0.415811,0.583064,-0.002836,0.386049,0.438220,0.000802,0.495691,0.339852,-0.001620,0.633942,0.372085,0.000099,0.683364,0.505475,-0.001510,0.598770,0.617984,0.001926
2178,0,0.110000,0.123914,0.495654,0.649322,0.500690,-0.000038,0.582811,0.625852,-0.000369,0.442293,0.634688,0.000656,0.357500,0.517687,0.000377,0.410550,0.382010,-0.000476,0.552149,0.351351,-0.000550,0.655396,0.452760,0.000281,0.627347,0.591730,0.000423,0.494241,0.639671,-0.000028,0.381524,0.552806,0.000777,0.394774,0.408987,-0.000015,0.523439,0.339667,-0.000352,0.650133,0.407637,-0.000713,0.662596,0.549990,0.000065,0.548515,0.634421,0.000298,0.415526,0.583306,0.000317,0.388287,0.441117,-0.000781,0.492263,0.338920,-0.000279,0.635228,0.368967,0.000078,0.685885,0.503436,0.000181,0.600998,0.616940,-0.000463
2211,0,0.031936,0.054025,0.216100,0.650321,0.499796,0.000567,0.582693,0.624708,-0.000590,0.441699,0.633960,-0.000640,0.357133,0.517745,-0.000108,0.409763,0.381913,0.000735,0.551989,0.351650,-0.000517,0.656025,0.452881,0.000559,0.627113,0.591901,0.000457,0.493855,0.640503,0.000109,0.381168,0.553123,-0.000704,0.394641,0.408359,0.000208,0.522584,0.338737,-0.000222,0.650675,0.408205,-0.000388,0.661349,0.549419,0.000588,0.549252,0.634109,0.000121,0.416285,0.582022,0.000448,0.388119,0.441092,-0.000020,0.493104,0.339414,-0.000190,0.634706,0.369563,-0.000568,0.685774,0.503974,-0.000260,0.601422,0.617056,0.000558
2244,0,0.030169,0.050804,0.203214,0.649314,0.499459,-0.000435,0.582752,0.624887,-0.000372,0.441809,0.634029,-0.000088,0.358082,0.517949,0.000139,0.410698,0.382342,-0.000506,0.551786,0.351526,0.000259,0.656730,0.452409,-0.000672,0.626552,0.590913,-0.000698,0.494781,0.640481,-0.000758,0.381166,0.553242,-0.000667,0.393759,0.407845,0.000248,0.523281,0.338696,-0.000404,0.650233,0.407716,-0.000590,0.662659,0.549271,0.000262,0.549087,0.634311,-0.000038,0.416807,0.582608,-0.000364,0.388263,0.441566,0.000316,0.492209,0.338947,0.000210,0.635265,0.369454,0.000038,0.686529,0.503177,-0.000245,0.601276,0.617429,-0.000093
2277,0,0.034511,0.038702,0.154809,0.649785,0.499616,-0.000314,0.582245,0.625725,0.000557,0.441328,0.634345,-0.000787,0.358176,0.518883,-0.000037,0.409168,0.382368,-0.000331,0.552119,0.350373,-0.000202,0.655884,0.452185,-0.000168,0.626547,0.591927,-0.000176,0.493980,0.640025,-0.000124,0.380914,0.553241,0.000656,0.394631,0.408692,-0.000345,0.523053,0.339496,-0.000139,0.651144,0.407006,-0.000337,0.662336,0.550213,-0.000365,0.548707,0.634092,-0.000769,0.415326,0.582599,-0.000502,0.387715,0.440445,0.000344,0.493089,0.338363,-0.000559,0.635037,0.369099,-0.000301,0.686785,0.504278,-0.000058,0.601679,0.616670,0.000550
2310,0,0.036271,0.046011,0.184044,0.650723,0.499290,0.000441,0.582360,0.625173,-0.000492,0.442124,0.634902,0.000525,0.356896,0.518597,-0.000402,0.410387,0.382388,0.000380,0.551803,0.351099,0.000434,0.656059,0.452859,-0.000043,0.627376,0.591247,-0.000283,0.494382,0.639671,0.000700,0.381364,0.552423,0.000222,0.393657,0.409017,0.000582,0.522212,0.338382,0.000213,0.650297,0.406982,-0.000358,0.661508,0.550488,-0.000786,0.547778,0.635045,-0.000040,0.416201,0.582337,-0.000657,0.387803,0.440161,0.000190,0.493415,0.339586,0.000200,0.634343,0.369583,0.000322,0.686772,0.502883,-0.000428,0.601983,0.617403,0.000411
2343,0,0.032095,0.044143,0.176572,0.650489,0.499902,-0.000491,0.583348,0.624994,-0.000584,0.442216,0.634371,-0.000100,0.357173,0.518483,-0.000496,0.409452,0.382236,0.000372,0.552190,0.351692,0.000663,0.656113,0.451398,-0.000552,0.626758,0.591169,-0.000213,0.493376,0.640625,-0.000194,0.380827,0.552048,0.000571,0.394581,0.407979,0.000354,0.522917,0.339064,-0.000180,0.650617,0.407510,0.000082,0.662298,0.549741,0.000225,0.547887,0.634628,-0.000693,0.416583,0.581951,0.000598,0.387874,0.440791,-0.000642,0.492839,0.339328,0.000253,0.635089,0.369674,-0.000390,0.686092,0.503651,-0.000687,0.601901,0.616476,-0.000014
2376,0,0.033443,0.041944,0.167777,0.650624,0.499328,0.000482,0.582342,0.625313,0.000701,0.441443,0.634185,0.000333,0.358019,0.517793,-0.000735,0.409266,0.382166,0.000711,0.553286,0.350517,0.000360,0.656076,0.451591,0.000042,0.626683,0.591749,-0.000514,0.494574,0.640268,-0.000631,0.381552,0.552591,-0.000066,0.394404,0.409009,-0.000533,0.522152,0.338844,-0.000260,0.650031,0.408312,-0.000091,0.661881,0.549729,0.000786,0.548230,0.634386,0.000423,0.415936,0.582905,0.000173,0.388452,0.440357,0.000425,0.493407,0.338397,0.000739,0.634964,0.369187,0.000362,0.687078,0.503635,0.000028,0.602002,0.616625,-0.000319
2409,0,0.032571,0.067280,0.269121,0.649555,0.500569,-0.000765,0.583560,0.625524,-0.000358,0.441664,0.634485,0.000681,0.356949,0.517428,-0.000231,0.409375,0.382267,0.000131,0.552122,0.351659,-0.000653,0.655865,0.452756,0.000375,0.627443,0.592017,-0.000523,0.494696,0.640707,0.000122,0.381983,0.552970,-0.000319,0.394509,0.408519,-0.000674,0.521953,0.339435,-0.000243,0.651086,0.407380,0.000589,0.662709,0.549588,0.000244,0.548674,0.633809,0.000444,0.415859,0.582231,-0.000734,0.388415,0.440254,0.000004,0.492279,0.338071,0.000371,0.634876,0.369265,0.000152,0.686313,0.503037,-0.000336,0.601043,0.616353,-0.000668
2442,0,0.036188,0.054425,0.217700,0.650114,0.499279,-0.000161,0.582381,0.625224,0.000438,0.440987,0.633810,0.000095,0.357482,0.518412,-0.000486,0.410139,0.382857,-0.000406,0.551864,0.351604,-0.000283,0.656704,0.451431,0.000275,0.626963,0.591305,-0.000287,0.494325,0.639642,-0.000312,0.382111,0.553004,0.000784,0.394047,0.407830,-0.000728,0.523173,0.338521,-0.000202,0.650990,0.408078,-0.000620,0.661404,0.550743,0.000683,0.549101,0.635103,-0.000778,0.416357,0.581921,-0.000080,0.387587,0.440349,0.000061,0.492252,0.338828,-0.000386,0.635020,0.369720,-0.000574,0.686624,0.502711,0.000133,0.601474,0.616211,-0.000527
2475,0,0.030383,0.042568,0.170270,0.649654,0.500463,0.000189,0.582330,0.625468,-0.000787,0.441400,0.634029,0.000563,0.357757,0.518751,-0.000769,0.410541,0.382719,-0.000430,0.552358,0.351924,-0.000641,0.655730,0.452675,0.000050,0.626584,0.591549,-0.000067,0.494857,0.639638,-0.000404,0.381378,0.552551,-0.000171,0.393590,0.408152,-0.000237,0.522864,0.338579,0.000765,0.650580,0.408013,0.000201,0.662723,0.550650,0.000504,0.547758,0.634679,-0.000352,0.415490,0.583179,0.000251,0.387692,0.440626,0.000737,0.492905,0.338991,-0.000436,0.634632,0.368796,0.000753,0.686961,0.503208,0.000068,0.600743,0.616364,0.000066
2508,0,0.034693,0.037621,0.150482,0.650480,0.500580,-0.000306,0.583374,0.625259,-0.000584,0.442371,0.635156,-0.000568,0.358194,0.518835,-0.000292,0.410045,0.383197,-0.000611,0.552257,0.351769,0.000363,0.656450,0.452696,-0.000138,0.626943,0.591457,0.000694,0.494806,0.641097,-0.000362,0.381777,0.552189,-0.000504,0.394559,0.408576,-0.000373,0.522771,0.338571,-0.000429,0.650878,0.407289,0.000301,0.662080,0.550029,0.000168,0.548850,0.634389,0.000563,0.416033,0.581963,-0.000491,0.387603,0.441238,-0.000776,0.492357,0.338651,0.000388,0.635829,0.369764,-0.000694,0.686989,0.504259,0.000587,0.601196,0.616662,-0.000068
2541,0,0.034509,0.045006,0.180025,0.649595,0.499848,-0.000733,0.583422,0.625029,-0.000299,0.441756,0.634783,0.000150,0.357541,0.518769,0.000459,0.409986,0.382402,0.000523,0.551817,0.351955,0.000030,0.655859,0.452464,0.000092,0.627111,0.591757,-0.000721,0.493841,0.640241,-0.000313,0.381855,0.552756,-0.000124,0.394320,0.407684,0.000027,0.522091,0.339529,-0.000077,0.650934,0.406895,0.000446,0.662818,0.550339,-0.000584,0.548372,0.634513,-0.000514,0.416191,0.582883,-0.000477,0.388279,0.440415,0.000307,0.493377,0.339265,0.000349,0.634445,0.368735,-0.000081,0.686086,0.503520,-0.000185,0.601678,0.616960,0.000720
